کمي,scarcity
منشگري,secretaryship
ترشح کردن,secrete
در خفا,secretly
بطور مخفي,secretly
پنهان کار,secretive
دزدکي,secretly
سرا,secretly
مخفيانه,secretly
بطور پنهاني,secretly
يواشکي,stealthily
تراوشي,secretory
مترشحه,secretory
ترشحي,secretory
فرقه,sect
مکتب فلسفي,sect
تيرهاي,sectarian
کوته بين,sectarian
فرقهاي,sectary
فرقه گراي,sectarian
فرقهاي کردن,sectarianize
مقطعي,sectional
قطعه قطعه,sectional
غير روحاني,temporal
دنيويت,secularism
دنياپرست,secularist
غير روحاني کردن,secularize
دنيوي کردن,secularize
يک طرفي,secund
ايمن ساختن,secure
محل مطمئن,secure place
محفو,secured
تاميني,security
وثيقه,security
قواي تاميني,security forces
تامينات,security police
مفاد امنيتي,security provisions
تخت روان,sedan
آمپول آرامبخش,sedative
غير مهاجر,sedentary
شوراي روحاني,sederunt
صديقه,Sedigheh
لاي,sediment
رسوب,sediment
رسوبي,sedimentary
ته نشسته,sedimentary
لاي گيري,sedimentation
لايه گذاري,sedimentation
رسوب شناسي,sedimentology
فتنه,sedition
فتنه پراکني,sedition
فتنه گر,seditious
وسوسه کردن,tempt
از راه بدر بردن,seduce
وسيله اغوا,seducement
نظاره کردن,watch
ديدن,see
تماشا کردن,see
ناظر بودن,watch
خدمت رسيدن,see
مشاهده شدن,see
ديد کردن,see
مقتضي دانستن,see fit
الاکلنگ,see-saw
قابل ديد,seeable
بذر,seed
تخمي,trivial
بذر خوار,seed-eating
دانه دار,seeded
بذردار,seeded
تخم پاش,seeder
پر تخم,seedful
بي هسته,seedless
بي تخم,seedless
بيدانه,seedless
نورسته,seedling
بذر افشان,seedsman
بذرپاش,seedsman
بذرکار,seedsman
فصل بذر,seedtime
بتخم افتاده,seedy
پرتخم,seedy
تخم دار,seedy
قوه ديد,seeing
رويت,seeing
چاره جوئي کردن,seek a remedy
پناهنده شدن,seek asylum
کام جستن,seek fruition
مدد خواستن,seek help
استمداد کردن,seek help
خون خواستن,seek revenge
جويا,seeker
جوينده,seeker
متحصن,sitting in strike
بهانه جويي,seeking excuses
استمداد,seeking help
درمورد عقاب,seel
وانمود شدن,seem
بنظررسيدن,seem appear
به نظر درست آمدن,seem right
ظاهر نما,seeming
ديده شده,seen
چکان,seepy
الله کلنگ کردن,seesaw
زرفين,segment
انشعاب حزبي,segregation
صاحب تيول,seignior
زلزله اي,seismic
لزله نگار,seismograph
زلزله سنج,seismograph
زلزله نگار,seismograph
لرزرهنگار,seismograph
شرح زلزله,seismography
زلزله نگاري,seismography
زلزله شناس,seismologist
زلزله شناسي,seismology
لرزه شناسي,seismology
بتصرف آوردن,seize
غصب کردن,seize
درحال جلوس,sejant
به ندرت,seldom
بندرت,seldom
گزين کردن,select
گلچين کردن,select
گزينه انتخاب,selection switch
بهگزين,selective
گزينشي,selective
گزينندگي,selectivity
بهگزيني,selectivity
شخص ممتاز,selectman
سلکتور,selector
سلکترون,selectron
ماه شناسي,selenology
نفس خود,self
خويشتن,self
خود عمل,self acting
خود عملي,self action
خود ميزان,self adjusting
جلوبري خويشتن,self advancement
کشتن نفس,self annihilation
خويشتن شناسي,self awareness
خود گورشده,self buried
خود فرماني,self goverment
خود خوشايندي,self complacency
خود خوشايند,self complacent
اعتماد بنفس,self confidence
غرور بيجا,self confidence
معارضه بانفس,self contradiction
قوه خودداري,self control
خويشتن داري,self control
مسک نفس,self repression
خود فريفته,self deceived
خود فريبي,self deception
خود آشکار,self evident
واجب الوجودي,self existence
خود باروري,self fertility
تحقير نفس,self humiliation
هيپنوتيزم خود,self hypnosis
شباهت تام,self identity
فداسازي خود,self immolation
خود بهسازي,self improvement
غرض شخصي,self interest
خود دوستي,self love
خود ساخته,self made
صيانت نفس,self protection
بقاء خود,self preservation
خود پاکسازي,self purification
خود پرورده,self raised
خود انديشي,self reflection
درون انديشي,self reflection
خود پژواکي,self reflexive
نسبت بخود,self relative
اتکاء ذاتي,self reliance
عزت نفس,self respect
مناعت طبع,self respect
شرافت نفس,self respect
ورع,self restraint
مکاشفه نفس,self revelation
از جان گذشته,self-sacrificing
نفس پرست,sensual
خود گزيني,self selection
خود زاوري,self service
خود ياوري,self service
خود استوار,self sufficient
واگذاري خود,self surrender
موردپشتيباني نفس,self sustained
خود آموز,self teaching
خود آموخته,self taught
عذاب نفس,self torment
پرستش خويشتن,self worshiping
تهمت زدن به خود,self- accusation
توهين بنفس,self-abuse
خودميزاني,self-adjustment
خودجذبي,self-adoption
خودآرا,self-adoring
خودشناسي,self-analysis
خود شناس,self-analytical
خودگمارده,self-appointed
خودفرضي,self-assumption
خودکور,self-blinded
خودسوز,self-burning
خودگراي,self-centered
خودباور,self-centered
تيشه روبخودي,selfish
خودباوري,self-centeredness
اعتمادبخود,self-confidence
اعتماد به نفس,self-esteem
تناقض کردن,self-contradict
تناقض گويي,self-contradiction
خودداري,self-control
خودفريب,self-deceptive
خودويرانگري,self-destruction
خود ويرانگر,self-destructive
خوديابي,self-discovery
ارباب خود,self-employed
خودبارورسازي,self-fertilization
تفاخر,self-glorification
مفاخرت کردن,self-glorify
مفاخرت,self-glorifying
خودشکني کردن,self-humiliate
خوار شماري,self-humiliation
بخود بسته,self-imposed
خودکرده,self-induced
خودالقايي,self-induction
خودکامي,self-interest
خودفروزي,self-lumination
خودفروز,self-luminous
خيشتن دار,self-possessed
خودستاي,self-praise
خودستايي,self-praise
خودستا,self-praising
اتکاء نفس,self-reliance
اتکاء بخود,self-reliance
خودکناره گيري,self-resignation
خوددار,self-resistant
جان بازي,self-sacrifice
جانفشاني,zeal
ارضاء نفس,self-satisfaction
خودزاوري,self-service
استغناء طبع,self-sufficiency
خودکفا,self-suficient person
از خود راضي,selfish
خود پسند,selfish
خود پرست,selfish
خود خواه,selfish
خيشتن بين,selfish
تيشه رو بخود,selfish
خودپسندي,selfishness
خود پسندانه,selfishly
منيت,selfishness
انانيت,selfishness
خود پرستي,selfishness
توجيه خود,selfjustification
درست همان,selfsame
سلجوقي,seljukian
سلاجقه,Seljuks
فروختن,sell
حراج کردن,sell
بفروش رفتن,sell
بمزايده فروختن,sell by tenders
پيش فروش کردن,sell in advance
ارزان فروختن,sell off
يکجا فروختن,sell out
فروختني,sellable
پيش فروش,selling in advance
مسابقه فروش اسب,selling race
معني شناسي,semantics
ظن قوي,semblance
نطفه,sperm
آب مني,semen
نيمسال,semester
نصف شده,semi
نيم سده,semi centennial
نيم سده اي,semi centennial
نيمه مستقل,semi-independent
نصف سالي,semiannual
شش ماهه,semiannual
نيمخودکار,semiautomatic
نيم دايره,semicircle
نيمه مستعمره,semicolonial
نيمهمستعمراتي,semicolonialism
نيمرسانا,semiconductor
نيمه آگاه,subconscious
نيمه هشيار,subconscious
نيمه بلورين,semicrystalline
نيمروزه,semidiurnal
نيمه خدا,semidivine
نيم تر,semidry
نيمه ايستاده,semierect
نيمپاياني,semifinal
نيمه نهائي,semifinal
نيم مايع,semifluid
نيمه آبکي,semifluid
نيمه شفاف,semitranslucent
نيمه محکم,semihard
مايع چسبنده,semiliquid
مايع غليظ,semiliquid
نيمه درخشان,semilustrous
نيمه مجلل,semilustrous
سمينار,seminar
الحوزه,seminary
مدرسه الهيات,seminary
حوزه علميه,seminary
فيضيه,seminary
مني ساز,seminiferous
نيمه کدر,semiopaque
نيمه دولتي,semipublic
نيمه عمومي,semipublic
دولاچنگ,semiquaver
نيمه مذهبي,semireligious
نيمه ترکيبي,semisynthetic
زبان سامي,semitic
نيم هفتگي,sempiternal
نيم ساله,semiyearly
سناريو,senario
سنا,Senate
مجلس سنا,Senate
سناتور,senator
مرسول کردن,send
ارسال کردن,send
ارسال داشتن,send
اعزام داشتن,send
فرستادن,send
ايفاد کردن,send
پيام دادن,send a message
پيغام دادن,send a message
پيام رساندن,send a message
رهسپار کردن,send in
فرستنده,transmitting
ايفاد,sending
مقامات ارشد,senior officials
آب و تاب,sensation
شورانگيز,sensational
جنجال برانگيز,sensational
بويايي,sense of smell
بساوائي,sense of touch
عامل احساس,sense organ
احساس ودرک,sensibility
ذيشعر,sensible
محسوس,sensible
افق مرئي,sensitive horizon
حساسيت,sensitiveness
حساس شدن,sensitize
سنج چشم,sensitometer
ضبط کننده,sensor
سانسور کردن,sensore
عضو حسي,sensorial
اعضاي حس,sensorium
مرکز حواس,sensorium
هواپرست,sensual
فرستادني,transmissible
تيرباران شدن,sent to firing squad
اجراي راي,sentencing
جملهاي,sentential
پر مغز,sententious
زندگي فکري,sentience
سئول,Seoul
سپهدار,Sepahdar
سوا,separate
عليحده,separate
تفکيک کردن,separate
تفريق کردن,separate
مجزا کردن,seperate
جدا کردن,separate
جداگانه,separately
منتزع کردن,separate
متارکه کردن,separate
ماسوا,separate
جدا شدن,separate
مفارقت کردن,separate from
تفکيکي,separated
جدا شده,separated
مفروز,separated
منتزع,separated
جدا جدا,separately
سوا سوا,separately
جدا سازي,seperation
حاجز,separating
فراغ,separation
فراق,separation
انقطاع,separation
تفکيک,separation
مفارقت,separation
هجر,separation
هجران,separation
انتزاع دين و دولت,separation of church and state
تجزيه طلب,separatist
انشعابيون,separatists
جدا کننده,separator
سپهر,Sepehr
جدا شدني,seperable
مجزا شدن,seperate
مجزي,seperated
سپيده,white
پاسبان محلي,sepoy
انفکاک,sepration
ناحيه محصو,sept
سپتامبر,September
هفت ساله,septennial
هفت بخشي,septet
هفتگانه,septette
ماده عفوني,septic
جسم عفوني,septic material
گند انبار,septic tank
هفتاد ساله,seventy
هفت قلو,septuplet
قبر ساختن,sepulchre
گوري,sepulchral
آرامگاهي,sepulchral
نصيحت پذير,sequacious
لوله شو,tractile
قطار,train
متواتر,sequential
بدنبال هم,sequentially
سراف,seraph
سرافين,seraphim
صربستان,Serbia
صربستاني,Serbian
زبان صربستاني,serbian
صرب,Serbian
متين,serene
فلاکت بار,serfish
قره نوکري,serfism
سرژ,serge
گروهباني,sergeancy
وظايف گروهباني,serjeancy
گروهبان,sergeant
بدفعات,serial
شماره ترتيب,serial number
سلسلهوار,serially
پشت سرهم آوردن,seriate
پشت سرهم,seriately
بطور رديف,seriatim
بهم فشرده,seried
سريال,series
خطير,serious
جدي,serious
بي شوخي,seriously
وابسته بموعظه,sermon
روضه,sermon
مواعظ,sermons
سرم شناس,serologist
سرم شناسي,serology
غشاء سروزي,serosa
دير شکوفا,serotinous
ماربزرگ,serpent
مارپيچي,serpentine
مارپيچ,serpentine
مار مانند,serpentine
اره اي,serrate
مضرس کردن,serrate
منغمز,serrated
تضرس,serrulation
آب پنير,whey
سرم,serum
سرمي,serumal
خانه شاگرد,servant
عبد,slave
خدمتکار,servant
پيشخدمت,servant
نوکر,servant
خادم,servant
خدام,servants
بندگان,servants
خدمت انجام دادن,serve
بندگي کردن,serve
خدمت کردن,serve
پيشخدمتي کردن,serve
نوکري کردن,serve
بکار رفتن,used
شاگردي کردن,serve as an apprentice
طعام گذاردن,serve food
خدمتگزاري,service
زاوري,service
خدمتگاري,service
کتب مذهبي,service book
خدمات,services
شايسته نوکران,servile
نوکرمابي,servility
زير دست,servitor
بندگي,slavery
کنجد,sesame
مقرر فرمودن,set
افول کردن,set
غروب کردن,set
درنوشتن,set aside
تعيين حدود کردن,set boundaries
چشم دوختن,set eyes on
ترقه درکردن,set off firecrackers
مشتعل ساختن,set on fire
عازم کاري شدن,set out
قيمت مقطع,set price
گونيا,set square
ميز چيدن,set table
نظريه مجموعه ها,set theory
مقدمه چيني,set up
برپا کردن,set up
سيخ دار,setaceous
گذارنده,setter
توطن کردن,settle
تصفيه حساب کردن,settle
تفريغ کردن,settle
ته نشست کردن,settle
مستقر شدن,settle
رسوب کردن,settle
وطن کردن,settle
مقيم کردن,settle
نشست کردن,subside
ماندگار شدن,stay permanently
تسويه کردن,settle
واريز کردن,settle
ساکن کردن,settle
تسويه حساب کردن,settle
مستقر,settled
زيست گاه,settlement
واريز,settlement
تسويه,settlement
تفيغ,settlement
رفع اختلاف,settlement
ماندگر,settler
خوش نشين,settler
شهرک نشين,settler
توطن,settling
مقدمهچيني,setup
هفت چيز,seven
هفت,seven
يک هفتم,seventh
هفت صد,seven hundred
هفتصد,seven hundred
اصحاب کهف,seven sleepers
عجايب هفتگانه,Seven Wonders
سبعه,sevenfold
سباعي,sevenfold
هفده,seventeen
سابع,seventh
هفتاد,seventy
قابليت سواشدن,severability
قابليت تقسيم,severability
سوا شدني,severable
چند تا,some
شديده,severe
کتک حسابي,severe beating
مرض سخت,severe illness
درد شديد,twinge
بشدت,severely
به سختي,severely
با شدت,severely
اشد,severest
رمزسختي,severity
رمز شدت,severity code
خياطي کردن,sew
دوزندگي کردن,sew
دوختن,sew
هرز آب,sewage
گندآب,sewage
پس آب,sewage
فاضلاب,sewage
اگو,sewage
گندابراه,sewer
گندابرو,sewer
ماشين دوزندگي,sewer
خياطي,sewing
دوزندگي,sewing
جعبه خياطي,sewing kit
چرخ خياطي,sewing machine
دوخته,sewn
سکسي کردن,sex
سکس,sex
جاذبه جنسي,sex appeal
رنگينتن جنسي,sex chromosome
شصت تا,sexagesimal
وابسته به تذکيروتانيث,sexed
شش لا,six-ply
شش گانه,sextuple
شش چندان,sextuple
شش قلو,sextuplet
شش برابر کردن,sextuplicate
جذبه جنسي,sexual attraction
انحراف جنسي,sexual deviation
تمايلات جنسي,sexuality
احساسات جنسي,sexual feelings
جفت گيري,sexual intercourse
آميزش جنسي,sexual intercourse
مجامعت,sexual intercourse
جماع,sexual intercourse
سيد علي خامنه اي,Seyed @ly x|mnh |y
سيد باقر حکيم,Seyed Bagher Al Hakim
سيد محمد باقر حکيم,Seyed Mohammad Bagher Al Hakim
سيد سانا,Seyed Sana
سيفالله,Seyfollah
سيد,seyyed
شعبان,Shaban
شابور,Shabbur
نخ نما,tacky
شکال,shackle
پابند زدن,shackle
استخوان قاپ,shacklebone
غل و زنجير,shackles
شادان,Shadan
بتاوي,shaddock
آسمانه,shade
سايه بان,shade
سايه انداختن,shade
سايه افکندن,shade
سايه دار کردن,shade
سايه دار,umbrageous
ظل,shelter
نمايش ارواح,shadow play
بي سايه,shadowless
سايه مانند,shadowy
سايه افکن,shady
شافعي,Shafiite
مال بند,shaft
چوبه,shaft
يک دست,slick
موي زبر,shag
مو دراز,shaggy
کرک شده,shaggy
ابروي پر پشت,shaggy eyebrow
شقايق,Shaghayegh
ساغري,shagreen
شهباز,Shahbaz
شاهيده,Shahideh
شهين,Shahin
شهيندخت,Shahindokht
شهکام,Shahkam
شهلا,Shahla
شهناز,Shahnaz
شهرام,Shahram
شهربانو,Shahrbanu
شهرداد,Shahrdad
شهريور,Shahrivar
شهرناز,Shahrnaz
شهروز,Shahruz
شهرزاد,Shahrzad
شهيار,Shahyar
جنبان,shake
مرتعش شدن,shake
مرتعش کردن,shake
لرزيدن,vibrate
مرتعس ساختن,shake
متزلزل کردن,shake
لرزاندن,vibrate
مصاحفه کردن,shake hands
مصافه کردن,shake hands
مصافحه,shake hands
جنباننده,shaker
لرزاننده,shaker
لرز,vibrating
لرزش,vibrating
لرزان,vibrating
لرزنده,vibrant
صدف کندن,shale
شليزه,Shalizeh
تنکاب,shallow
کم آب,shallow
کم عمق,unmeaning
کم ژرفا,shoal
کم عمق کردن,shallow
سطحي,superficial
پاياب,shallow
صحنه کشتار,shambles
خجلت,shyness
خجالت,shyness
خجول,shamefaced
شرمزده,shameful
بي خجالت,shameless
پرده دريده,shameless
بي آبرو,shameless
بيعار,shameless
بي شرم,shameless
بدون شرم,shameless
خليغ العذار,shameless
بيشرم,shameless
بي حيايي,shamelessness
شاميرزا,Shamirza
وقيحانه,shamlessly
سرشوي,shampoo
شمس,Shams
شمسالدين,Shamsoddin
شمسالله,Shamsollah
شانگهاي,Shanghai
شهر زيبا,shangri
سرزمين دلخواه,shangri
ساق جوراب,shank
بشکل در آوردن,shape
بي شکل,shapeless
بيقالب,shapeless
خوش هيکل,shapely
خوش ترکيب,shapely
ذوالاکتاف,Shapoor II
شاپور,Shapur
شراره,spark
پاره سفال,shard
کوزه شکسته,shard
سهم بردن,share
سهام,stock
دانگ,share
حصص,share
قسمت کردن,share
سهامدار,stockholder
دانگي,shared
تلفن مشترک,shared phone
سهمدار,shareholder
صاحب سهم,stockholder
بي حصه,shareless
سهم دار,sharer
شريف علي بن الحسين,Sharif Ali Ben Al Hossein
کوسه ماهي,shark
کوسه,thin-bearded
شارون,Sharon
برنده,winning
بران,sharp
تيزه,sharp end
تيز چشم,sharp-eyed
حکم انداز,sharp shooter
تيز نظر,sharp sighted
تيز فهمي,sharp wittedness
تيزبين,sharp-eyed
تيز بيني,sharp-sightedness
تيز دندان,sharp-toothed
تيز هوشي,sharp-wittedness
تيز شدن,sharpen
نوک تيز کردن,sharpen
تيز کردن,whet
تراشيدن,shave
چاقو تيز کردن,sharpen knife
تراشيده,shaved
تيز گر,sharpener
تيزکن,sharpener
تيغ تيز کن,sharpener
شرپنل,sharpnel
ذلاقت,sharpness
برندگي,winning
شط العرب,Shatt-al-Arab
داغان کردن,shatter
داغان,shattere
ضد خرد شدن,shatterproof
نشکن,shatterproof
شوال,Shaval
موي صورت زدن,shave
تراش,shave
خمير ريش,shave cream
مو تراشيدن,shave hair
سرتراشيده,shaveling
صورت تراش,shaver
ريشتراش,shaver
ماشين ريش تراش,shaver
ستوان سوم,shavetail
صورت تراشي,shaving
خراشه,shavings
براده,shavings
شايا,Shaya
شايان,worthy
حيات مدرسه,shcoolyard
مشاراليها,she
خر ماده,she ass
ماده بز,she-goat
بافه,sheaf
بافه کردن,sheaf
پشم چيدن,shear
ماشين برش,shear
قيچي شده,sheared
غلافدار کردن,sheathe
نيامي,sheathed
شيبا,viper
خرگاه,tent
برگ ريزان کردن,shed leaves
تولک,shedding
گوسفند,sheep
ميشن,sheep leather
گوسفندخوار,sheep-eating
شبان بياباني,sheepherder
چوپاني,sheepherding
گوسفندوار,sheepish
پشم چيني,sheepshearing
پارچه ظريف,sheer
يک راست,sheer
انحراف حاصل کردن,sheer
لت,slap
شمد,sheet
ورق ورق کردن,sheet
شيشه جام,sheet glass
آهن ورق,sheet iron
ورق فلز,sheet metal
شيشه ورق,sheetglass
پوششي,sheeting
ملافه وغيره,sheeting
سافيلد,Sheffield
شيخ نشين,sheikdom
قلمرو شيخ,sheikhdom
شيخنشين,sheikhdom
شيخ الاسلام,Sheikhol Eslam
شيوخ,sheiks
تاقچه,shelf
فلات قاره,shelf
لک,spot
عامل محافظ,shell
خمپاره انداختن,shell
قشر زمين,shell
گلوله باران کردن,shell
شرکت نفتي شل,Shell Oil Company
بالاک جلا دادن,shellac
صدف دار,testaceous
گلوله باران,shelling
باران گير,shelter
پنهانگاه,shelter
پناهگاه,shelter
ملاذ,shelter
جان پناه,shelter
پناه گاه,shelter
پناه دهنده,shelterer
قفسه دار کردن,shelve
تاقچه دار کردن,shelve
قفسه بندي,shelving
درجه شيب,shelving
شمر,Shemr
شنزن,Shenzen
چوپان,shepherd
راعي,shepherd
چوپاني کردن,shepherd
افشره,sherbet
شري مي,Sheri Mi
داروغه,sheriff
ضابط شهرباني,sheriff
شري,Sherry
شروين,Shervin
نهر آب,sheugh
شيعه,shi'a
شيده,Shideh
شيدرخ,Shidrokh
سپر,shield
سپردار,shielded
استحفاظ,shielding
سپرمانند,shieldlike
سپروار,shieldlike
نوبت کار,shift
نوبت کاري,shift
جابه جايي,shifting
تشيع,shiism
شيعي,Shiite
اهل تشيع,shiite
متشيع,Shiite
شيلا,Shila
دودلي داشتن,shilly shally
شيما,Shima
تموج داشتن,undulate
مرتعش بودن,shimmer
سوسو زننده,shimmery
ساق پا,shin
قلم پا,shin
تلالو داشتن,shine
رخشيدن,shine
نور دادن,shine
رخشندگي,shine
براقي,shine
واکس کفش,shiner
لامح,shining
رخشنده,shining
شيني بازي کردن,shinny
شينتو,shinto
براق,shiny
سوار کشتي,shipboard
سفينه,ship
کشتي,ship
صحنه کشتي,shipboard
کنار کشتي,shipboard
کشتيساز,shipbuilder
کشتيسازي,shipbuilding
مرسله,shipment
قابل ارسال,shippable
مسافر کشتي,shipper
محموله کشتي,shipper
سفاين,ships
غرق کشتي,shipwreck
کشتي شکسته شدن,shipwreck
شيرين,sweet
شيرينبانو,Shirin-Banu
شانه خالي کردن از,shirk
پيرهن,shirt
پيراهن,shirt
بلوز,shirt
شيروان,Shirvan
ششليک,shish kebob
سنده,turd
عن,shit
گه,sometimes
ريدن,shit
مورمور شدن,shiver
کم جاي,shoal
بچه خوک,shoat
کمک فنر,snubber
تکانگير,shock absorber
شوکه,shocked
مطالب مهيج,shocker
تکان دهنده,shocking
نشنيدني,shocking
مايه انزجار,shockinjg
نعل کفش,shod
کالاي تقلبي,shoddy
پارچه پست,shoddy
کفش,shoe
کفش پوشيدن,shoe
نعل زدن,shoe
واکس,wax
واکسي,shoe shiner
واکس خن,shoe shiner
پاشنه کش,shoehorn
کفشدوز,shoemaker
کفشدوزي,shoemaking
پاافزار,shoes
شکرالله,Shokrollah
با کيش فرار دادن,shoo
رويش انشعابي,shoot
تير زدن,shoot
هدف توپ قرار دادن,shoot
هدف گلوله قرار دادن,shoot
رويش شاخه,shoot
گلوله زدن,shoot
تيرانداز,shooter
ستاره ثاقب,shooting star
دکان,store
فروشگاهدار,shop owner
ويترين,store window
مغازه دار,shopkeeper
دکاندار,storekeeper
دکانداري,shopkeeping
مغازه رو,shopper
پاساژ,shopping area
پليس ساحلي,shore patrol
کرانه پاسدار,shore patrol
شمع زدن,shore up
پشم چيده,shorn
اتصالي پيدا کردن,short
کوتاهقد,short
کوتاه نگاه داشتن,short
کوتاه,short
ميانبر,short cut
رگ ديوانگي,short fuse
کوتاه مدت,short-term
نزديک برد,short range
سلف فروشي,short sale
کوتاه نظري,short sight
کم نفس,short winded
چند روزه,short-lived
کم برد,short-range
کمبود,shortage
کلوچه ترد,shortcake
کم فروش,shortchanger
کوچک کردن,shorten
کوتوله شدن,shorten
مقضي المرام,shortened
کوتاه شدن,shortened
مختصر کننده,simplifier
اقصر,shorter
مختصر نويسي,stenography
عنقريب,soon
کوتاهي,shortness
شورت,shorts
کوتاه بيني,shortsightedness
تير خورده,wounded
سرنگون,shot down
وزنه پراني,shot put
وزنه پران,shot putter
وزنهپران,shot-putter
بتوان شايد,should
باشانه زور دادن,shoulder
کول کردن,shoulder
کتف,shoulder
مشط,shoulder
حمايل فنگ,shoulder arms
دوش فنگ,shoulder arms
قلم بدوش,shoulder to shoulder
دوش به دوش,shoulder to shoulder
اکتاف,shoulders
بانگ,shout
گلبانگ,shout
خروش کردن,shout
نعره کشيدن,yell
نعره زدن,yell
خروش بر آوردن,shout
داد کردن,shout
فرياد کردن,shout
فرياد زدن,shout
خروشان بودن,shout
داد کشيدن,shout
داد زدن,shout
طپاندن,thrust
تپاندن,thrust
جلوه گر ساختن,show
نمايان گرديدن,sign of defeat in corpus
جلوه کردن,show
نشان دادن,show
نمايان ساختن,show
نمودار کردن,unveil
نمودن,show
جلوه گر کردن,show
نماياندن,show
عطوفت کردن,show kindness
اضطراب داشتن,show anxiety
اضطراب نشان دادن,show anxiety
بدسليقگي کردن,show bad taste
تهور بخرج دادن,show bravery
مردي کردن,show courage
نجابت کردن,show decency
مايه گذاشتن,spend
غريب پروري کردن,show hospitality
اظهار تفقد کردن,show kindness
تفقد کردن,show kindness
ملاطفت کردن,show kindness
تفخر کردن,show off
خودنمايي کردن,show off
تکبر کردن,show pride
بي ميلي کردن,show reluctance
درويترين نمايش دادن,showcase
جعبه آينه,showcase
آزمايش نيرو,showdown
درشت باران,shower
دوش گرفتن,shower
رگباري,showery
فيس و افاده,showing off
تفخر,showing off
خودنمايي,showing off
جلوه گري,showing off
حمايل,showlder-belt
نمايشگر,showman
نمايش دهنده,showman
نمايشگري,showmanship
سالن نمايشگاه,showroom
پرجلوه,showy
خود نما,showy
گلوله افشان,shrapnel
باريک بريدن,shred
سرتکه پارچه,shred
پتياره,shrew
سليطه,shrewish
کولي گري,shrewishness
فرياد دلخراش زدن,shriek
شبيه صفير,shrill
ميگو,shrimp
جاي مقدس,shrine
زيارتگاه,shrine
ضريح,tomb
زيارت گاه,shrine
مرقد,tomb
درمعبد قرار دادن,shrine
متولي زيارت,shrine custodian
مراقد,shrines
کوچک شدن,shrink
آب رفتن,shrink
چروک خوردني,shrinkable
آب رفتگي,shrinkage
کيس,wrinkle
چروک دهنده,shrinker
افسردهشدن,wither
کفن پيچ کردن,shroud
کفن کردن,shroud
درختچه,shrub
بوته دار کردن,shrub
درختچه زار,shrubbery
شبيه بوته,shrubby
بوته زار,shrubby
مانند گلچين,shrubby
پربوته,shrubby
شانه بالا انداختن,shrug off
بر زدن,shuffle
مقاومت موازي,shunt
مغناطيسي انحرافي,shunt winding
هيس گفتن,shush
مريض بستري,shut in
خفه شو,shut up
زهر مار,snake venom
خفه شدن,suffocate
پشت دري,shutter
شاتل,shuttle
کمرو,shy
رم کردن,shy
خجالتي,shy
محجوبيت,shyness
سيام,Siam
سيامک,Siamak
سيامي,Siamese
هيولاي زوج,siamese twin
سياوش,Siavosh
منسوب نسبي,sib
سيبريه,Siberia
سيبري,Siberia
سيبريهاي,Siberian
صفيري,sibilant
صداي هيس,sibilant
هم نژاد,sibling
سيسيلي,Sicilian
سيسيل,Sicily
بدحال,sick
ناتندرست,unhealthy
حال ندار,sick
ناسالم,unhealthy
مرخصي استعلاجي,sickleave
بستر مريز,sickbed
بستر مريض,sickbed
بيمار کردن,sicken
ناخوش کردن,sicken
بيمارساختن,sicken
بيمار ساختن,sicken
مريض کردن,sicken
مريض کن,sickener
بيمار کننده,sickening
دهره,sickle
اتاق مريض,sickroom
اتاق مريز,sickroom
ضلع,side
جناح,wing
لاپات,side
طرف,side
اسلحه کمري,sidearm
نتيجه جانبي,side effect
اثرجانبي,side effect
نظر فرعي,side glance
سويگام,side step
طرفداري کردن,side with
اسلح کمري,sidearm
نوارجانبي,sideband
باندجانبي,sideband
ميز کناري,sideboard
ميز پاديواري,sideboard
درشکه چهارچرخه,sidecar
شخص وابسته,sidekick
يکوري,sidelong
قطعه کناري,sidepiece
بخش جانبي,sidepiece
زين يکوري,sidesaddle
موضوع فرعي,sideshow
چرخش انحرافي,sidespin
پيادهرو,sidewalk
پياده رو,sidewalk
از پهلو,sidewards
يک طرفه,ventricose
مجموع جانبي,sideways sum
يک ور کردن,sidle
يک وري,sidle
سيدني,Sydney
زيگفريد,Siegfried
خواب بعدازظهر,siesta
پرويزن,sieve
علک,sieve
آردبيز,sieve
الک کردن,sift
بيختن,sift
بوجاري کردن,winnow
بوجار,sifter
بوجاري,sifting
آه کشيدن,sigh
آوخ بر آوردن,sigh
آوخ کشيدن,sigh
آه حسرت کشيدن,sigh
رويت کردن,sight
باصره,vision
مقابله نظري,sight check
برات رويت,sight draft
برات ديداري,sight draft
ددر,sight seeing
علامت نجومي,sigil
ايماء,sign
امضاءکردن,sign
توشيح فرمودن,sign
رقم کردن,write
توشي کردن,sign
امضا کردن,sign
زبان اشاره,sign language
شکرانه,sign of gratitude
اثر گناه,sign of guilt
بااشارهصدا زدن,signal
سيگنال,signal
امضا کننده,signatory
صاحب امضاء,signatory
امضا,signature
توشيح,signature
امضاء شده,signed
قابل توجه,significant
باشاره فهماندن,signify
علائم,signs
قصيل سبز,silage
ساکت شدن,silence
خموشي,silence
سکوت,silence
خاموشي,silence
خفه کن,silencer
بي حرف,speechless
خموش,still
سيلزي,Silesia
سنگ چخماق,silex
سيليس,silica
سيليکات,silicate
سيليسي,silicate
سيليس دار,silicic
سيليکوني,silicon
سيليسيوم,silicon
حرير,silk
پارچه ابريشمي,silk
ابريشم,silk
لباس ابريشمي,silk
نخ ابريشم,silk
صنعت ابريشم,silk industry
حريرباف,silk weaver
نوغان,silk worm eggs
